frequency,quantity
15,0.03264089
16,0.01121385
17,0.01384876
2,0.03202647
3,0.04951012
4,0.01390549
5,0.09441476
6,0.02811021
7,0.07398731
8,0.06342922
9,0.02047436
10,0.04887011
11,0.01364428
12,0.03075584
13,0.0279543
14,0.0106105
15,0.02767738
17,0.01104579
2,0.03487004
3,0.03942687
4,0.03204829
5,0.0925164
6,0.02582664
7,0.06649563
8,0.06821138
9,0.02362882
10,0.04756675
11,0.01279526
12,0.02537072
13,0.0288392
15,0.02489256
2,0.03487004
3,0.03942687
4,0.03204829
5,0.0925164
6,0.02582664
7,0.06649563
8,0.06821138
9,0.02362882
10,0.04756675
11,0.01279526
12,0.02537072
13,0.0288392
15,0.02489256
2,0.03255889
3,0.0429897
4,0.0122089
5,0.09314914
6,0.02982235
7,0.07823304
8,0.05223676
9,0.01594206
10,0.0506172
11,0.0130265
12,0.0323307
13,0.01848258
15,0.02880661
17,0.01256785
2,0.03255889
3,0.0429897
4,0.0122089
5,0.09314914
6,0.02982235
7,0.07823304
8,0.05223676
9,0.01594206
10,0.0506172
11,0.0130265
12,0.0323307
13,0.01848258
15,0.02880661
17,0.01256785
1,0.01029929
2,0.03426745
3,0.04040776
4,0.02010116
5,0.09308439
6,0.02953167
7,0.07627796
8,0.05373023
9,0.0142156
10,0.04658714
11,0.01069451
12,0.02798374
13,0.02568086
15,0.02605925
17,0.01136247
0,0.01023273
1,0.01264872
2,0.0363353
3,0.03728601
4,0.01979912
5,0.09486207
6,0.03007092
7,0.07761958
8,0.05497987
9,0.01531187
10,0.04379906
12,0.02697946
13,0.02278104
15,0.02186179
0,0.01175308
1,0.01442087
2,0.03609235
3,0.04252687
4,0.02395614
5,0.09808609
6,0.03175979
7,0.07647657
8,0.06113731
9,0.01443293
10,0.04390474
12,0.02134882
13,0.02742609
14,0.01087723
15,0.01915851
0,0.01221617
1,0.01456806
2,0.03775224
3,0.04571954
4,0.01908976
5,0.09723805
6,0.02973109
7,0.07749889
8,0.06149836
9,0.01664533
10,0.04424577
12,0.02149575
13,0.02865787
14,0.01020213
15,0.01965517
0,0.0130923
1,0.01554687
2,0.03769046
3,0.04336803
4,0.02034035
5,0.0974502
6,0.03148692
7,0.08175494
8,0.06013833
9,0.01497023
10,0.04516561
12,0.02576774
13,0.02679787
14,0.01040717
15,0.02406015
1,0.01156733
2,0.03537791
3,0.03978696
4,0.01775773
5,0.09447992
6,0.03020145
7,0.07982974
8,0.05943998
9,0.01851097
10,0.04659463
12,0.02270763
13,0.02942963
14,0.01523426
15,0.0209241
20,0.01067495
2,0.03512418
3,0.03986313
4,0.01241842
5,0.09323411
6,0.02219722
7,0.0699359
8,0.06865717
9,0.02795855
10,0.04018706
12,0.01839696
13,0.03278714
14,0.01984727
15,0.01152194
18,0.01305458
20,0.0125221
2,0.04279045
3,0.03905566
4,0.01384619
5,0.08457794
6,0.01448388
7,0.06083613
8,0.07379982
9,0.0243319
10,0.03214911
12,0.01955512
13,0.03377365
14,0.01558445
18,0.01580506
19,0.01016938
20,0.01220896
2,0.03271841
3,0.04136405
4,0.01237745
5,0.08788013
6,0.01701957
7,0.06588363
8,0.07480462
9,0.02644442
10,0.03274881
12,0.01715767
13,0.03341938
14,0.01706344
18,0.0152537
19,0.01044476
20,0.01240161
2,0.03307094
3,0.0359408
5,0.07837293
6,0.01949389
7,0.06582479
8,0.07586822
9,0.02700433
10,0.03504321
12,0.01626837
13,0.0363271
14,0.01905578
16,0.01050102
18,0.01645448
19,0.01141332
20,0.01240805
2,0.03451648
3,0.04116347
4,0.01848292
5,0.08611441
6,0.01993338
7,0.06564025
8,0.08030275
9,0.02594616
10,0.04078592
11,0.01077915
12,0.01365193
13,0.03473955
14,0.01838594
16,0.01459704
18,0.01735532
19,0.01189706
20,0.01450939
0,0.0109231
1,0.01323751
2,0.03013504
3,0.04848699
4,0.01956559
5,0.09420952
6,0.02463049
7,0.06244267
8,0.08655804
9,0.02297791
10,0.04613562
12,0.01085155
13,0.03850248
14,0.0108825
15,0.02294308
18,0.01272188
0,0.0109231
1,0.01323751
2,0.03013504
3,0.04848699
4,0.01956559
5,0.09420952
6,0.02463049
7,0.06244267
8,0.08655804
9,0.02297791
10,0.04613562
12,0.01085155
13,0.03850248
14,0.0108825
15,0.02294308
18,0.01272188
2,0.02907689
3,0.04207306
4,0.02849353
5,0.1009001
6,0.033983
7,0.07333568
8,0.07189116
9,0.02277954
10,0.0556793
11,0.01554992
12,0.0272148
13,0.02799203
14,0.01039808
15,0.02432025
2,0.03042554
3,0.04409886
4,0.02188528
5,0.09937368
6,0.03328932
7,0.0826734
8,0.06453073
9,0.0159546
10,0.05718849
11,0.01177395
12,0.02988003
13,0.02263738
15,0.03078827
17,0.01285698
2,0.03065055
3,0.0390412
4,0.0209622
5,0.09498843
6,0.03478806
7,0.08489347
8,0.06133947
9,0.0156335
10,0.05600232
11,0.012817
12,0.03122279
13,0.02412773
14,0.0108578
15,0.02952492
17,0.01158331
0,0.0115238
1,0.01435128
2,0.03283773
3,0.04182547
4,0.01503295
5,0.102682
6,0.03360961
7,0.08344084
8,0.05822635
9,0.02209562
10,0.05247565
12,0.02607808
13,0.02780889
14,0.01149937
15,0.02577183
0,0.01337952
1,0.01666234
2,0.04052565
3,0.05431626
4,0.02271746
5,0.09994202
6,0.02629929
7,0.07850725
8,0.07037298
9,0.01920659
10,0.04759604
12,0.02486748
13,0.03549847
14,0.01404296
15,0.02597548
0,0.01337952
1,0.01666234
2,0.04052565
3,0.05431626
4,0.02271746
5,0.09994202
6,0.02629929
7,0.07850725
8,0.07037298
9,0.01920659
10,0.04759604
12,0.02486748
13,0.03549847
14,0.01404296
15,0.02597548
0,0.01238433
1,0.01634378
2,0.03407572
3,0.05114938
4,0.01318106
5,0.09727238
6,0.02654063
7,0.07730435
8,0.07963191
9,0.02151069
10,0.05250617
12,0.01744931
13,0.03814288
14,0.01433775
15,0.02765695
2,0.02763625
3,0.0464801
4,0.02104368
5,0.1086689
6,0.02831812
7,0.07502569
8,0.08165908
9,0.02897212
10,0.05660985
11,0.01009374
12,0.02632123
13,0.03611844
14,0.01249761
15,0.02815563
2,0.02860987
3,0.0430708
4,0.02136802
5,0.1011532
6,0.03304179
7,0.0772702
8,0.08159384
9,0.02537536
10,0.06109543
11,0.01107745
12,0.02762702
13,0.03044156
14,0.01268862
15,0.02868879
2,0.02973972
3,0.03417033
4,0.01846564
5,0.1027433
6,0.03364662
7,0.08894772
8,0.06391398
9,0.01956104
10,0.06339083
11,0.01591367
12,0.03681846
13,0.02098235
15,0.0274649
17,0.01141268
2,0.03270672
3,0.03804336
4,0.01428373
5,0.09155524
6,0.03640845
7,0.09088651
8,0.054671
9,0.01081624
10,0.05740279
11,0.0170527
12,0.04098094
13,0.01688326
15,0.02805269
17,0.0130268
0,0.01149629
1,0.01476821
2,0.03684617
3,0.04091006
4,0.01732983
5,0.09349551
6,0.03378027
7,0.08758458
8,0.05547352
9,0.01660245
10,0.05578507
11,0.01064858
12,0.03062738
13,0.02250944
14,0.01063081
15,0.02634717
0,0.01738969
1,0.02092612
2,0.03201618
3,0.04326056
4,0.03078536
5,0.08818261
6,0.02729943
7,0.08150454
8,0.06213127
9,0.01780129
10,0.05427395
12,0.02456992
13,0.02634893
14,0.01276336
15,0.02203829
1,0.01037151
2,0.03929451
3,0.0401238
4,0.02360502
5,0.08846349
6,0.02708209
7,0.08201477
8,0.0610587
9,0.02015427
10,0.05073311
12,0.02627224
13,0.02878689
14,0.01614719
15,0.01782018
20,0.0104687
2,0.041372
3,0.03134585
5,0.07755779
6,0.0136146
7,0.07008262
8,0.0666554
9,0.02690912
10,0.04081861
12,0.02184038
13,0.03004604
14,0.01822995
15,0.01281106
0,0.01945731
1,0.02302889
2,0.04682362
3,0.02830351
4,0.01624577
