frequency,quantity
10,0.03514424
11,0.01181061
12,0.04088349
13,0.01859343
14,0.0142125
15,0.02163962
1,0.01036395
2,0.03057263
3,0.03737628
4,0.02272595
5,0.04671814
6,0.02204173
7,0.07416628
8,0.04439756
9,0.0156629
10,0.04535452
12,0.03212243
13,0.02484103
14,0.01003113
15,0.02912518
18,0.01000157
1,0.01036395
2,0.03057263
3,0.03737628
4,0.02272595
5,0.04671814
6,0.02204173
7,0.07416628
8,0.04439756
9,0.0156629
10,0.04535452
12,0.03212243
13,0.02484103
14,0.01003113
15,0.02912518
18,0.01000157
0,0.01103205
1,0.01262196
2,0.03360648
3,0.03733493
4,0.02360422
5,0.04685093
6,0.02313167
7,0.07507104
8,0.04158631
9,0.01191815
10,0.04771606
12,0.03436428
13,0.02320439
15,0.03139952
2,0.03540436
3,0.02951476
5,0.06543758
6,0.01359369
7,0.06538532
8,0.05262487
9,0.01827149
10,0.06508398
11,0.02004468
12,0.04143108
13,0.02520375
15,0.03277054
16,0.01274217
17,0.01162259
20,0.01033617
0,0.01718275
1,0.02011398
2,0.04339004
3,0.02287442
5,0.07666827
6,0.02219313
7,0.07457715
8,0.04584549
9,0.01481618
10,0.06671463
11,0.02452037
12,0.05484223
13,0.01149176
15,0.02616159
17,0.0104502
0,0.01722227
1,0.02020976
2,0.04361203
3,0.02233584
5,0.07651529
6,0.0227008
7,0.07601633
8,0.04760486
9,0.01427082
10,0.06836928
11,0.02621078
12,0.05470613
13,0.01057272
15,0.02888579
1,0.01072532
2,0.03582625
3,0.03225121
4,0.01048283
5,0.08168173
6,0.02970008
7,0.08404048
8,0.0352909
9,0.01124835
10,0.05847473
11,0.01884929
12,0.04987862
15,0.03479981
16,0.01207741
17,0.01563007
1,0.0119055
2,0.03581275
3,0.02642882
4,0.01174521
5,0.06596663
6,0.01399448
7,0.07057191
8,0.04572056
9,0.03086948
10,0.04090008
12,0.03586642
13,0.0215997
14,0.02169439
15,0.01899304
0,0.01558633
1,0.01773653
2,0.04077564
3,0.02487284
4,0.01190192
5,0.06804416
6,0.01443119
7,0.071329
8,0.04661126
9,0.02868318
10,0.03829453
12,0.03926258
13,0.01801728
14,0.01815461
15,0.02203
2,0.02949333
3,0.03611929
4,0.01838714
5,0.05021472
6,0.01101173
7,0.06956527
8,0.04313672
9,0.03218592
10,0.03923567
12,0.0397355
13,0.01753437
14,0.0222663
15,0.01964732
2,0.02761108
3,0.04016905
4,0.02298067
5,0.04457184
6,0.01612615
7,0.0731083
8,0.03738198
9,0.02488113
10,0.04082472
12,0.03633553
13,0.01676271
14,0.01847851
15,0.02217552
1,0.01111296
2,0.03200993
3,0.03946448
4,0.02143411
5,0.04545653
6,0.01849899
7,0.07453598
8,0.03430787
9,0.01367695
10,0.04834378
12,0.03686653
13,0.01738135
15,0.03111141
16,0.01102751
0,0.01376221
1,0.01687933
2,0.04137046
3,0.02421297
5,0.06698307
6,0.01619719
7,0.06564687
8,0.05410118
9,0.01745596
10,0.06660704
11,0.02340368
12,0.04447322
13,0.01474234
15,0.02803568
17,0.01204028
0,0.01997044
1,0.02345029
2,0.04965734
3,0.02751978
4,0.0119523
5,0.07414558
6,0.02034914
7,0.06635016
8,0.05712819
9,0.02192335
10,0.0663982
11,0.02149021
12,0.0436949
13,0.01632659
15,0.02568164
0,0.01879508
1,0.02161257
2,0.04769852
3,0.01762714
5,0.07863366
6,0.02132176
7,0.07118859
8,0.04894579
9,0.01541988
10,0.06501701
11,0.02429682
12,0.04557129
13,0.01167066
15,0.02504837
2,0.03298999
3,0.03656739
4,0.01664137
5,0.08977208
6,0.02653902
7,0.07696673
8,0.0353502
9,0.01011945
10,0.05711072
11,0.01601757
12,0.04029356
13,0.01307463
15,0.02875136
17,0.01323214
1,0.01094287
2,0.03482908
3,0.03466721
4,0.01415495
5,0.08366839
6,0.02855621
7,0.07795214
8,0.03505706
9,0.01057098
10,0.05586049
11,0.01296279
12,0.03585315
13,0.01523225
15,0.02593167
17,0.01196225
2,0.03783599
3,0.02285091
5,0.06734608
6,0.01694577
7,0.07179121
8,0.03598574
9,0.03007754
10,0.04639865
12,0.03201064
13,0.01740356
14,0.0195899
15,0.02116063
2,0.03783599
3,0.02285091
5,0.06734608
6,0.01694577
7,0.07179121
8,0.03598574
9,0.03007754
10,0.04639865
12,0.03201064
13,0.01740356
14,0.0195899
15,0.02116063
0,0.01629787
1,0.0184147
2,0.04337691
3,0.01965406
4,0.01489887
5,0.05873084
6,0.012364
7,0.07152307
8,0.04397274
9,0.03218056
10,0.0392568
12,0.03959554
13,0.01662389
14,0.01891088
15,0.02044206
1,0.01127302
2,0.03775103
3,0.03667606
4,0.02114588
5,0.05669006
6,0.01109329
7,0.06672221
8,0.04921511
9,0.03193654
10,0.0420255
12,0.03777561
13,0.02026435
14,0.01716533
15,0.01705746
2,0.02896909
3,0.04159011
4,0.02142601
5,0.04907301
6,0.02341422
7,0.07046732
8,0.0533924
9,0.01652939
10,0.04737964
12,0.02925054
13,0.02635372
14,0.01028273
15,0.02173933
2,0.02721103
3,0.04003286
4,0.02392779
5,0.05023723
6,0.02354218
7,0.07024313
8,0.0559208
9,0.01852171
10,0.04443951
12,0.0292688
13,0.02587481
15,0.02143964
2,0.03167238
3,0.03890255
4,0.02256278
5,0.05234411
6,0.02128864
7,0.07203056
8,0.04809772
9,0.01712412
10,0.05200972
12,0.02930833
13,0.02530268
14,0.01130531
15,0.02550212
0,0.01067854
1,0.01255716
2,0.03348126
3,0.03690284
4,0.02571057
5,0.04848204
6,0.01750399
7,0.07650348
8,0.03291633
9,0.01387157
10,0.05545423
12,0.03656187
13,0.01431599
15,0.02833914
16,0.01087923
0,0.01693408
1,0.01994349
2,0.04260717
3,0.02577032
5,0.07200922
6,0.02499874
7,0.08016658
8,0.02284366
10,0.06280889
11,0.02225475
12,0.05316176
14,0.01540972
15,0.01728024
0,0.01269759
1,0.01619416
2,0.04153205
3,0.03294707
4,0.01274064
5,0.08004819
6,0.02247874
7,0.0756581
8,0.03831169
9,0.0115615
10,0.06497215
11,0.02173829
12,0.04568459
15,0.02305361
17,0.01201194
2,0.03360784
3,0.03885148
4,0.02188047
5,0.08191364
6,0.03159396
7,0.0742609
8,0.04459856
9,0.01483659
10,0.05971953
11,0.01262362
12,0.03466786
13,0.01920643
15,0.02496241
17,0.01192526
1,0.01120308
2,0.03349189
3,0.03777536
4,0.01412146
5,0.08321676
6,0.02430244
7,0.07366265
8,0.04855853
9,0.01230267
10,0.06358264
11,0.01264892
12,0.03113504
13,0.02263837
15,0.02666168
17,0.01204557
0,0.0109977
1,0.01392791
2,0.03144959
3,0.02871717
4,0.01477878
5,0.09112279
6,0.03055069
7,0.08097634
8,0.04094937
9,0.01371084
10,0.06021715
11,0.01098815
12,0.03568643
13,0.02092902
14,0.01087049
15,0.02130348
2,0.03999763
3,0.03137267
5,0.07135747
6,0.01690164
7,0.06767454
8,0.05103453
9,0.02592675
10,0.0502103
12,0.02873454
13,0.02528738
14,0.01969105
15,0.01164939
0,0.01586798
1,0.01837612
2,0.04186603
3,0.03383345
4,0.01770901
5,0.06367958
6,0.01506879
7,0.06604827
8,0.0573532
9,0.02705887
10,0.04185405
12,0.03362139
13,0.02047634
14,0.01047649
15,0.01935682
17,0.01059079
0,0.01823968
1,0.02191766
2,0.04407933
3,0.03383692
4,0.01232056
5,0.06355743
6,0.01685808
7,0.06897543
8,0.05854669
9,0.02730817
10,0.04396521
11,0.01022528
12,0.03799073
13,0.02307009
15,0.01722475
0,0.01823968
1,0.02191766
2,0.04407933
3,0.03383692
4,0.01232056
5,0.06355743
6,0.01685808
7,0.06897543
8,0.05854669
9,0.02730817
10,0.04396521
11,0.01022528
12,0.03799073
13,0.02307009
15,0.01722475
0,0.01119599
1,0.01317709
2,0.04440654
3,0.02891836
4,0.02151087
5,0.05378579
6,0.01193887
7,0.06927317
8,0.05189095
9,0.03693918
10,0.04414059
12,0.04530793
13,0.01462029
14,0.01473975
15,0.01779611
0,0.01527213
1,0.01818812
2,0.03833099
3,0.04441368
4,0.02315415
5,0.04783565
6,0.01840273
7,0.08135193
8,0.0315992
9,0.02188611
10,0.05319535
12,0.0405674
13,0.0134535
15,0.02564825
0,0.01139282
1,0.01358135
2,0.04826091
3,0.02971845
5,0.06879013
6,0.02043961
7,0.08133984
8,0.03099133
10,0.07225344
11,0.02565846
12,0.0590002
14,0.01373558
15,0.02503856
17,0.01600862
0,0.01983242
1,0.02301412
2,0.05083283
3,0.02943222
4,0.02036449
5,0.07860284
6,0.02467912
7,0.08390822
8,0.03630375
10,0.07542089
11,0.02799667
12,0.05671662
14,0.01441645
15,0.02013475
1,0.01043375
2,0.03589742
3,0.03420231
4,0.02965867
5,0.0909273
6,0.03042705
7,0.09080672
8,0.02722909
9,0.01514556
10,0.06689659
11,0.02135887
12,0.05535351
14,0.0108078
15,0.02516744
17,0.01313795
0,0.01428347
1,0.01690105
2,0.0438852
3,0.02812505
5,0.07407016
7,0.06948373
8,0.05774091
9,0.03706948
10,0.04723763
12,0.03850052
13,0.01985294
14,0.01805486
15,0.01621823
17,0.01133319
0,0.01428347
1,0.01690105
2,0.0438852
3,0.02812505
5,0.07407016
7,0.06948373
8,0.05774091
9,0.03706948
10,0.04723763
12,0.03850052
13,0.01985294
14,0.01805486
15,0.01621823
17,0.01133319
0,0.0190803
1,0.02206118
2,0.04734447
3,0.02849692
4,0.01036424
5,0.06973989
6,0.01287229
7,0.07354398
8,0.05542791
9,0.03510326
10,0.04592274
12,0.03894484
13,0.01947828
14,0.01280703
15,0.02001856
0,0.0124055
1,0.01510745
2,0.03920547
3,0.03329787
4,0.01603672
5,0.06377509
6,0.01279608
7,0.07267815
8,0.06046322
9,0.03804978
10,0.04715008
11,0.010794
12,0.04294804
13,0.01729856
14,0.0117699
15,0.02078809
2,0.02851895
3,0.04372323
4,0.02905697
5,0.05191286
6,0.01888005
7,0.08645919
8,0.04964167
9,0.03006745
10,0.05783157
12,0.04106222
13,0.02244077
14,0.01856128
15,0.02521286
0,0.01376833
1,0.01503589
2,0.03744268
3,0.04159964
4,0.02898423
5,0.04931257
6,0.02424935
7,0.09292226
8,0.03785835
9,0.01670118
10,0.06124313
12,0.04251305
13,0.01641417
15,0.03235364
16,0.01160229
0,0.01624297
1,0.01968583
2,0.04783533
3,0.02805911
5,0.07667332
6,0.02284409
7,0.0852292
8,0.04431282
10,0.0794725
11,0.03055591
12,0.05878523
14,0.01248461
15,0.02796548
16,0.01013319
17,0.01475241
0,0.02111842
1,0.02459468
2,0.05521331
3,0.02832342
5,0.07846478
6,0.02701071
7,0.08917899
8,0.04219799
10,0.07785933
11,0.02738166
12,0.06054835
14,0.01182947
15,0.02631541
17,0.01094948
0,0.02111842
1,0.02459468
2,0.05521331
3,0.02832342
5,0.07846478
6,0.02701071
7,0.08917899
8,0.04219799
10,0.07785933
11,0.02738166
12,0.06054835
14,0.01182947
15,0.02631541
17,0.01094948
0,0.01084408
1,0.01428041
2,0.043102
3,0.02909958
5,0.09457361
6,0.03423106
7,0.0976786
8,0.02912582
9,0.02163423
10,0.06241726
11,0.01447381
12,0.05370174
14,0.01041759
15,0.02788921
17,0.01505576
0,0.01084408
1,0.01428041
2,0.043102
3,0.02909958
5,0.09457361
6,0.03423106
7,0.0976786
8,0.02912582
9,0.02163423
10,0.06241726
11,0.01447381
12,0.05370174
14,0.01041759
15,0.02788921
17,0.01505576
0,0.01632306
1,0.01898798
2,0.04558704
3,0.02665669
4,0.01604387
5,0.06878985
6,0.01331487
7,0.07854849
8,0.05413194
9,0.03565242
10,0.0504588
12,0.03930224
13,0.021153
14,0.02157525
15,0.01831164
2,0.03562284
3,0.04193871
4,0.02696186
5,0.05843978
6,0.01611504
7,0.08240172
8,0.05389364
9,0.0325221
10,0.05346938
12,0.0396176
13,0.02445045
14,0.0204435
15,0.02232366
2,0.03562284
3,0.04193871
4,0.02696186
5,0.05843978
6,0.01611504
7,0.08240172
8,0.05389364
9,0.0325221
10,0.05346938
12,0.0396176
13,0.02445045
14,0.0204435
15,0.02232366
1,0.01156852
2,0.03565542
3,0.04208252
4,0.02647898
5,0.05136137
6,0.02439976
7,0.09086931
8,0.04776147
9,0.01801719
10,0.06408111
12,0.03972601
13,0.02377362
15,0.03843059
16,0.01387121
18,0.01110147
19,0.01007684
0,0.01654906
1,0.01978054
2,0.04613867
3,0.02612279
5,0.07081413
6,0.02266788
7,0.0877076
8,0.0522938
9,0.01284381
10,0.08371317
11,0.02904686
12,0.05856292
13,0.01065076
14,0.01031133
15,0.03089591
17,0.01398957
0,0.02117321
1,0.02428186
2,0.05105212
3,0.02422093
5,0.08416127
6,0.02674535
7,0.08670595
8,0.05841088
9,0.01539445
10,0.0827454
11,0.02871328
12,0.05510338
13,0.01445202
15,0.03028811
0,0.01553218
1,0.01865508
2,0.04446418
3,0.03001892
5,0.0880354
6,0.02688655
7,0.08763944
8,0.05475823
9,0.01685606
10,0.08509687
11,0.02937684
12,0.05574471
15,0.02971045
2,0.03561193
3,0.03836779
4,0.01377065
5,0.1036605
6,0.03524544
7,0.09262905
8,0.05556329
9,0.01479674
10,0.07551466
11,0.01717622
12,0.04634998
13,0.02299022
15,0.03410361
16,0.01079003
17,0.01439028
2,0.03184408
3,0.04343293
4,0.02594545
5,0.100769
6,0.03567068
7,0.09002957
8,0.05805928
9,0.0149198
10,0.0736179
11,0.01661768
12,0.04150159
13,0.02729907
15,0.02943778
17,0.01308773
0,0.01081214
1,0.01341463
2,0.03706158
3,0.04309253
4,0.02025694
5,0.1053506
6,0.03550176
7,0.09225814
8,0.06650397
9,0.01750656
10,0.06957622
12,0.03424267
13,0.0365551
14,0.01488835
15,0.02909984
17,0.01020267
0,0.01234556
1,0.01515111
2,0.04032995
3,0.04070817
4,0.01982885
5,0.102912
6,0.03740427
7,0.09891335
8,0.05731223
9,0.01646539
10,0.07035645
11,0.01253984
12,0.04335667
13,0.02869681
14,0.01338522
15,0.03187339
1,0.0126983
2,0.04045056
3,0.03388874
4,0.01106475
5,0.08697189
6,0.02004352
7,0.08508828
8,0.07005898
9,0.03407638
10,0.05417938
12,0.04016358
13,0.03640528
14,0.0238255
15,0.02111645
0,0.02068778
1,0.02390658
2,0.0520338
3,0.03053221
4,0.01488535
5,0.07351784
6,0.01902923
7,0.08399821
8,0.06469347
9,0.03732963
10,0.0443278
12,0.05131874
13,0.02369423
14,0.01460219
15,0.02605419
17,0.01046683
0,0.01977741
1,0.02296805
2,0.0513939
3,0.03434975
4,0.01403949
5,0.07135286
6,0.01837963
7,0.08421168
8,0.0715983
9,0.03472896
10,0.04085702
11,0.01518764
12,0.05424621
13,0.02758932
14,0.01088126
15,0.02604689
17,0.01042195
0,0.01227506
1,0.01571506
2,0.04292543
3,0.04053427
4,0.02120082
5,0.06012342
6,0.01791355
7,0.08270427
8,0.06759723
9,0.03813648
10,0.0432985
11,0.01291937
12,0.05235294
13,0.02836838
14,0.01829972
15,0.01676252
17,0.01172904
1,0.01104551
2,0.03673401
3,0.05125681
4,0.02802879
5,0.06183698
6,0.03110733
7,0.09246877
