frequency,quantity
1,0.01694574
2,0.04244483
3,0.02667654
4,0.01873076
5,0.07161651
6,0.0123811
7,0.07909373
8,0.04779497
9,0.05184405
10,0.07230064
11,0.01111041
12,0.06418173
13,0.01979837
14,0.02108878
15,0.0124913
0,0.01169175
1,0.01415922
2,0.03954396
3,0.02979303
4,0.02034057
5,0.07177131
7,0.07725149
8,0.04803228
9,0.05232459
10,0.07171635
11,0.01347173
12,0.06703073
13,0.01160715
14,0.02171031
15,0.01445589
2,0.02833787
3,0.04174713
4,0.03104071
5,0.05851
6,0.01649016
7,0.08600828
8,0.03905185
9,0.04276837
10,0.07360183
11,0.0120224
12,0.0595509
13,0.01161292
14,0.01523233
15,0.02056085
1,0.01023442
2,0.03277546
3,0.03508218
4,0.03033137
5,0.05648031
6,0.01083363
7,0.0912054
8,0.02073365
9,0.03737126
10,0.08224541
11,0.02532222
12,0.06748985
13,0.01257206
14,0.01295202
15,0.02288244
16,0.01416735
0,0.01681228
1,0.01979368
2,0.0463263
3,0.01643364
5,0.08062289
6,0.02815391
7,0.09945689
8,0.01485325
9,0.0329448
10,0.08359932
11,0.0265161
12,0.0850485
13,0.01179484
14,0.02593475
0,0.01197351
1,0.01486068
2,0.04257941
3,0.0212586
5,0.08328357
6,0.03174803
7,0.1000196
8,0.02223713
9,0.04961933
10,0.06662575
11,0.01826667
12,0.07627422
14,0.01641035
15,0.01729196
17,0.0134959
2,0.03408688
3,0.03396395
4,0.02736291
5,0.06104296
7,0.08080001
8,0.03275021
9,0.05583598
10,0.0641904
11,0.01986985
12,0.05293011
14,0.02534605
0,0.0146924
1,0.01567185
2,0.03726669
3,0.03819148
4,0.03553387
5,0.05082
6,0.01752281
7,0.09434804
8,0.02301516
9,0.03789388
10,0.0710696
11,0.01922528
12,0.05952747
15,0.0205126
16,0.010407
0,0.02047779
1,0.02364966
2,0.05049204
3,0.01583602
5,0.08035093
6,0.0292094
7,0.1006299
8,0.01349506
9,0.02680845
10,0.08323199
11,0.02566112
12,0.07781151
13,0.01596442
14,0.02270778
15,0.01056574
0,0.01218013
1,0.01516994
2,0.04363665
3,0.02288598
5,0.08602615
6,0.03332781
7,0.1014429
8,0.0213846
9,0.04676873
10,0.06954688
11,0.01869725
12,0.07462234
14,0.01905981
15,0.0158985
17,0.0106222
0,0.01345401
1,0.01578137
2,0.04292574
3,0.02791871
4,0.02380245
5,0.06612513
6,0.01083155
7,0.07694463
8,0.03981121
9,0.05855582
10,0.06060193
11,0.01559799
12,0.05578243
14,0.02568013
15,0.01121317
0,0.01281412
1,0.01402056
2,0.03697621
3,0.03601229
4,0.03507811
5,0.051576
6,0.01406772
7,0.08771913
8,0.02274507
9,0.04441898
10,0.07091422
11,0.02215583
12,0.05773534
14,0.01113975
15,0.02061396
16,0.01221455
0,0.01944941
1,0.02243832
2,0.05081865
3,0.0128687
4,0.01116675
5,0.07518706
6,0.02864244
7,0.09782326
9,0.04777551
10,0.06632677
11,0.02209308
12,0.07555792
13,0.01385158
14,0.03647574
1,0.01000879
2,0.04085308
3,0.01697941
4,0.0115549
5,0.06812873
6,0.02091413
7,0.08490378
8,0.01788658
9,0.0623275
10,0.05512569
11,0.01691799
12,0.0709905
13,0.01768417
14,0.01588808
15,0.01711174
17,0.0163314
18,0.01180214
19,0.01170674
1,0.01121182
2,0.03701207
3,0.02783386
4,0.02669078
5,0.05822385
7,0.06403723
8,0.02791166
9,0.0612914
10,0.05932765
11,0.02936994
12,0.05096179
14,0.02414344
1,0.01143419
2,0.03533093
3,0.033226
4,0.03268322
5,0.04881844
7,0.07575004
8,0.01890312
9,0.0494277
10,0.06154087
11,0.02475326
12,0.0510408
13,0.01015188
14,0.0147578
15,0.01830623
16,0.01132692
0,0.01735534
1,0.02049994
2,0.0480797
3,0.01325827
4,0.01016048
5,0.07091616
6,0.02679525
7,0.09132083
8,0.01304799
9,0.05290345
10,0.0562534
11,0.01749826
12,0.06768663
13,0.02010794
14,0.03439736
0,0.01023674
1,0.0128955
2,0.03842771
3,0.02854113
4,0.02479761
5,0.06340543
7,0.06663873
8,0.03276378
9,0.05790837
10,0.06133712
11,0.02266379
12,0.04740831
13,0.01293562
14,0.0241561
2,0.02857435
3,0.03736513
4,0.03224247
5,0.05698737
6,0.01189266
7,0.07619106
8,0.03036182
9,0.04967827
10,0.0631358
11,0.01576579
12,0.04816007
14,0.02012343
15,0.01572518
1,0.01149659
2,0.0406957
3,0.0218105
4,0.01375199
5,0.06902835
6,0.01669509
7,0.08181058
8,0.01002733
9,0.02878867
10,0.0789634
11,0.03007066
12,0.07002816
13,0.02017677
14,0.0270635
15,0.01451988
17,0.0119623
1,0.01173824
2,0.03779957
3,0.02340952
5,0.0840393
6,0.03405281
7,0.0966997
8,0.01600578
9,0.04705906
10,0.06169311
11,0.01720482
12,0.06342433
13,0.01307635
14,0.02632459
15,0.01281003
2,0.03878187
3,0.0254729
4,0.01241277
5,0.07368109
6,0.0186629
7,0.07916287
8,0.02956118
9,0.04203613
10,0.06851331
11,0.01698145
12,0.05000043
14,0.01908072
15,0.01856602
17,0.01161425
0,0.01250403
1,0.01501526
2,0.03938945
3,0.0295789
4,0.02030511
5,0.06555122
7,0.07095715
8,0.0402545
9,0.04317871
10,0.06173288
11,0.01173955
12,0.0468661
14,0.01618415
15,0.01505231
0,0.01344727
1,0.01481953
2,0.03538811
3,0.03656531
4,0.03245143
5,0.04988276
6,0.01361355
7,0.08225921
8,0.02317067
9,0.03435299
10,0.06799188
11,0.01670574
12,0.04909722
14,0.01063548
15,0.0243325
16,0.01108347
0,0.01892363
1,0.02202246
2,0.04730403
3,0.01503696
5,0.07702698
6,0.02860788
7,0.09033832
8,0.01087648
9,0.0335469
10,0.07164576
11,0.03027429
12,0.06930572
13,0.01050411
14,0.02598548
0,0.01150104
1,0.01460519
2,0.0409239
3,0.02526885
5,0.08630469
6,0.03255263
7,0.09543523
8,0.02042279
9,0.03493135
10,0.0711266
11,0.02333443
12,0.05973481
14,0.01898973
15,0.01985111
0,0.01094502
1,0.01386023
2,0.03862779
3,0.0261499
4,0.01800255
5,0.06779286
6,0.01265955
7,0.07393551
8,0.04113785
9,0.04227156
10,0.0652307
11,0.01107755
12,0.03838797
13,0.01891117
14,0.02327969
15,0.01422771
0,0.01248126
1,0.01480245
2,0.03930972
3,0.02818969
4,0.01723839
5,0.06740108
7,0.06786047
8,0.0489939
9,0.04487852
10,0.06339927
12,0.04647496
13,0.01813603
14,0.01779487
15,0.01658525
2,0.03119104
3,0.03643021
4,0.02446936
5,0.05798303
6,0.01263236
7,0.07031322
8,0.04029787
9,0.03783923
10,0.06762571
12,0.04441604
13,0.02670584
14,0.01366017
15,0.01621704
2,0.03256357
3,0.02770507
4,0.0147726
5,0.05957349
6,0.0110492
7,0.07063867
8,0.03407853
9,0.011319
10,0.08697399
11,0.02212565
12,0.04694268
13,0.01471586
15,0.03510031
16,0.0148385
18,0.01079924
0,0.01707907
1,0.01972366
2,0.04340336
3,0.01441718
5,0.0722162
6,0.02461313
7,0.08021733
8,0.01420387
9,0.02369124
10,0.08026616
11,0.03050808
12,0.068208
14,0.02285526
15,0.01358978
1,0.01197189
2,0.03707736
3,0.02352157
5,0.0772872
6,0.030294
7,0.08447501
8,0.01623387
9,0.03276921
10,0.06636239
11,0.02214814
12,0.05801821
14,0.02105201
15,0.02096647
17,0.01038312
0,0.01123709
1,0.01355816
2,0.0362145
3,0.02302674
4,0.01594696
5,0.06319228
6,0.0111267
7,0.06448331
8,0.03412254
9,0.04074249
10,0.06463882
11,0.01548457
12,0.04076397
14,0.02219783
15,0.01558797
0,0.01198246
1,0.01410846
2,0.03850092
3,0.02817372
4,0.0188867
5,0.06350091
7,0.06437874
8,0.0407032
9,0.03920019
10,0.06045387
11,0.01139873
12,0.04191661
14,0.02204292
15,0.01983771
2,0.0277663
3,0.03429628
4,0.0253378
5,0.0555319
6,0.01181639
7,0.06720223
8,0.03786447
9,0.03969496
10,0.06152306
12,0.03998559
13,0.02176948
14,0.02139568
15,0.01897988
17,0.01007159
0,0.01828626
1,0.02128946
2,0.04518967
3,0.01780119
5,0.07523026
6,0.02377056
7,0.07680768
8,0.02355218
9,0.01071536
10,0.08283323
11,0.02981755
12,0.05963566
14,0.01398476
15,0.02004371
0,0.01029617
1,0.01316654
2,0.03745561
3,0.02583702
5,0.08232024
6,0.02715666
7,0.07967135
8,0.02526303
9,0.01293562
10,0.07884775
11,0.02016881
12,0.05655148
14,0.01222915
15,0.02553866
2,0.03277989
3,0.0307373
5,0.08508129
6,0.03095224
7,0.08021905
8,0.0281092
9,0.01679189
10,0.07291746
11,0.01157447
12,0.04834085
15,0.03113664
17,0.01193096
2,0.03142853
3,0.02553537
5,0.07648104
6,0.02209458
7,0.07000133
8,0.03741172
9,0.02537044
10,0.06885096
11,0.02275769
12,0.04152071
13,0.02063417
14,0.0201673
15,0.02341161
17,0.01145684
1,0.01139619
2,0.03316057
3,0.02819113
4,0.01926864
5,0.05777578
7,0.06268863
8,0.04031688
9,0.04162997
10,0.05542045
12,0.03869959
13,0.01441296
14,0.02394969
15,0.0200886
1,0.01139619
2,0.03316057
3,0.02819113
4,0.01926864
5,0.05777578
7,0.06268863
8,0.04031688
9,0.04162997
10,0.05542045
12,0.03869959
13,0.01441296
14,0.02394969
15,0.0200886
1,0.01032494
2,0.0369647
3,0.02253678
4,0.01238449
5,0.06518879
6,0.01284191
7,0.069705
8,0.01763844
9,0.01654903
10,0.07485746
11,0.02614358
12,0.05499579
13,0.01313138
14,0.02228599
15,0.02253017
16,0.011998
17,0.01269829
0,0.01278051
1,0.01555101
2,0.04161213
3,0.02065046
5,0.07712951
6,0.02697299
7,0.08110332
8,0.01136006
9,0.02344671
10,0.0688258
11,0.01845764
12,0.05901636
13,0.01490492
14,0.02367714
15,0.0176189
0,0.01136754
1,0.01431812
2,0.03913364
3,0.02322412
5,0.08088167
6,0.02963693
7,0.08193062
8,0.01849342
9,0.02988881
10,0.06132444
11,0.01451875
12,0.05178059
14,0.01652858
15,0.02073519
17,0.01127669
0,0.01296849
1,0.01533298
2,0.03970595
3,0.02663518
4,0.01704059
5,0.05999583
6,0.01017397
7,0.06674209
8,0.03731073
9,0.03826784
10,0.05117328
11,0.01009264
12,0.03919308
13,0.01472019
14,0.02408044
15,0.01803856
2,0.02996535
3,0.03752908
4,0.02820408
5,0.0545514
6,0.0111697
7,0.07058408
8,0.03333524
9,0.03501911
10,0.05759628
11,0.01506897
12,0.03674715
14,0.01878288
15,0.02214898
2,0.02996535
3,0.03752908
4,0.02820408
5,0.0545514
6,0.0111697
