frequency,quantity
3,0.01589308
1,0.01174975
2,0.03306049
4,0.02375103
5,0.01027101
6,0.01479249
7,0.01099295
8,0.01588947
9,0.01850436
10,0.01331731
1,0.01174975
2,0.03306049
4,0.02375103
5,0.01027101
6,0.01479249
7,0.01099295
8,0.01588947
9,0.01850436
10,0.01331731
0,0.01675411
1,0.01922896
2,0.04704787
3,0.03873761
5,0.04775496
7,0.02630575
8,0.03496619
9,0.01564811
10,0.04292887
11,0.01082184
12,0.02193752
13,0.01374514
15,0.02646687
0,0.01528751
1,0.01825259
2,0.04687406
3,0.04035491
5,0.05512315
7,0.02919121
8,0.03968629
9,0.01832372
10,0.0475659
11,0.01569812
12,0.0272795
13,0.01692526
15,0.03168068
0,0.01710794
1,0.02040149
2,0.04899288
3,0.04102303
4,0.01142253
5,0.06480076
6,0.01088284
7,0.03631398
8,0.04851213
9,0.01804195
10,0.05651963
11,0.01915216
12,0.034299
13,0.0251649
15,0.03565349
0,0.01669922
1,0.01980504
2,0.04635865
3,0.04203424
4,0.01278912
5,0.07217172
6,0.01128084
7,0.03965411
8,0.05876798
9,0.02056243
10,0.0515068
11,0.02096225
12,0.03337858
13,0.02622875
15,0.03519018
17,0.01004788
0,0.01695126
1,0.02047754
2,0.04995919
3,0.03844491
4,0.01517416
5,0.07077131
6,0.01036437
7,0.05222556
8,0.04882685
9,0.02878584
10,0.05435653
11,0.01483512
12,0.04546261
13,0.02596247
14,0.01695891
15,0.03771539
17,0.01345992
0,0.02025746
1,0.02349314
2,0.05461301
3,0.03769501
4,0.01229857
5,0.06861576
6,0.01271717
7,0.05238248
8,0.04739089
9,0.0252789
10,0.04987191
11,0.01383411
12,0.04642912
13,0.0293578
14,0.01639162
15,0.03719812
17,0.01283414
0,0.01766121
1,0.02078546
2,0.04913421
3,0.03647164
4,0.01511854
5,0.07000749
6,0.01197736
7,0.05513442
8,0.05100398
9,0.02724868
10,0.04638675
11,0.01384802
12,0.05045587
13,0.02592755
14,0.01366829
15,0.03169459
17,0.01115466
1,0.01125532
2,0.04146626
3,0.04358839
4,0.02561807
5,0.06392515
6,0.01382829
7,0.07055505
8,0.04266411
9,0.02480885
10,0.04757895
12,0.04990734
13,0.02834054
14,0.02542612
15,0.03129342
17,0.0112108
1,0.01025041
2,0.03459491
3,0.04937467
4,0.02047678
5,0.0589857
6,0.02873949
7,0.06278545
8,0.06484994
9,0.01473768
10,0.03817677
11,0.01251104
12,0.03183641
13,0.04678819
14,0.01480267
15,0.02410125
17,0.01180278
2,0.03513288
3,0.05300438
4,0.02394549
5,0.06179798
6,0.03493666
7,0.06124645
8,0.07330268
9,0.019028
10,0.03439558
11,0.01561797
12,0.02966184
13,0.04727851
14,0.01161523
15,0.01749529
2,0.03513288
3,0.05300438
4,0.02394549
5,0.06179798
6,0.03493666
7,0.06124645
8,0.07330268
9,0.019028
10,0.03439558
11,0.01561797
12,0.02966184
13,0.04727851
14,0.01161523
15,0.01749529
0,0.01968416
1,0.02284761
2,0.0481143
3,0.0380151
5,0.07589086
6,0.0273907
7,0.0613515
8,0.09548817
9,0.03009483
10,0.02004346
11,0.03389816
12,0.03900369
13,0.04501226
15,0.01938448
18,0.01148259
33,0.01037185
0,0.02084615
1,0.023715
2,0.04918706
3,0.03362016
5,0.07231244
6,0.02774032
7,0.07094579
8,0.08989479
9,0.03094825
10,0.02335418
11,0.02835247
12,0.05282363
13,0.04193365
15,0.0251451
0,0.01934909
1,0.02230014
2,0.04875339
3,0.03304698
4,0.01383444
5,0.07859232
6,0.02022694
7,0.08014931
8,0.07720105
9,0.03266273
10,0.02408198
11,0.02443872
12,0.05289217
13,0.03009468
15,0.03144709
1,0.01227492
2,0.04069445
3,0.04156775
4,0.02302536
5,0.06968516
6,0.0146822
7,0.08426657
8,0.05702939
9,0.03097524
10,0.03362383
11,0.01322338
12,0.05142684
13,0.0256593
14,0.02425627
15,0.03097742
2,0.03658129
3,0.05089015
4,0.03032966
5,0.05995619
6,0.02742714
7,0.08567289
8,0.05577953
9,0.0194601
10,0.03582074
12,0.04626694
13,0.03346201
14,0.0166327
15,0.03179998
1,0.01056214
2,0.03658102
3,0.05158084
4,0.02151636
5,0.06152395
6,0.03394919
7,0.07496007
8,0.07857266
9,0.01921147
10,0.0307605
11,0.01506898
12,0.03043133
13,0.04616118
14,0.01225547
15,0.01802476
16,0.01220102
17,0.01199622
0,0.01618165
1,0.01900184
2,0.04380692
3,0.04307663
5,0.06465313
6,0.03317268
7,0.05951603
8,0.1017415
9,0.01931164
10,0.01695758
11,0.02692916
12,0.02609634
13,0.03772938
15,0.01042302
18,0.01157779
0,0.02159489
1,0.02445215
2,0.0460235
3,0.03585571
5,0.07069717
6,0.02930755
7,0.05525904
8,0.1037674
9,0.02145828
10,0.01547237
11,0.02652161
12,0.02361136
13,0.03638218
15,0.01448304
1,0.01166275
2,0.03413393
3,0.04933421
4,0.0254957
5,0.09687256
6,0.01325448
7,0.0504613
8,0.1076808
9,0.02847625
10,0.0424187
11,0.01296618
13,0.04946647
14,0.01427614
15,0.01272235
16,0.01643592
18,0.01833718
20,0.01158277
2,0.03515553
3,0.04713216
4,0.02686825
5,0.1063564
6,0.03113232
7,0.08352455
8,0.08002232
9,0.02626019
10,0.06149618
11,0.0121487
12,0.02866516
13,0.03310931
14,0.0153039
15,0.0334435
17,0.01028149
0,0.01026592
1,0.01321601
2,0.03945231
3,0.0424384
4,0.01897011
5,0.110478
6,0.03479315
7,0.09148897
8,0.06315637
9,0.01831077
10,0.05744232
11,0.01462761
12,0.03691396
13,0.02524337
14,0.01075167
15,0.04068493
16,0.01188396
17,0.01386932
0,0.01223134
1,0.01565683
2,0.04329262
3,0.03950673
4,0.01459937
5,0.1096587
6,0.03745135
7,0.098441
8,0.04572078
9,0.02099351
