frequency,quantity
3,0.01504913
8,0.01034959
9,0.01267561
10,0.01058297
3,0.01504913
8,0.01034959
9,0.01267561
10,0.01058297
2,0.01301929
3,0.01306603
5,0.0118307
8,0.01485657
9,0.02153558
10,0.01872302
11,0.01143894
12,0.01090773
13,0.0119436
14,0.01555699
15,0.01237988
0,0.01425945
1,0.01582102
2,0.04310979
4,0.03381912
5,0.0181471
6,0.01147951
7,0.02648373
9,0.1031815
10,0.01798071
11,0.0462472
13,0.02909386
14,0.03780178
16,0.02830255
17,0.01169233
18,0.01751242
20,0.01158374
2,0.03290955
3,0.02632105
4,0.03372375
5,0.04491765
6,0.01692504
7,0.03536948
8,0.01354855
9,0.09821453
10,0.03478805
11,0.03883826
12,0.02697036
13,0.01419506
14,0.04617231
16,0.01568387
0,0.01609746
1,0.01835718
2,0.04769528
3,0.02974272
4,0.03579203
5,0.04839832
7,0.03798403
8,0.02114404
9,0.08415394
10,0.05059483
11,0.02869019
12,0.03474844
14,0.05714282
16,0.01330193
2,0.04055601
3,0.03062285
4,0.03371779
5,0.05367097
6,0.01420859
7,0.04121725
8,0.0204835
9,0.08435056
10,0.05428382
11,0.03710018
12,0.02895662
14,0.06439291
2,0.04055601
3,0.03062285
4,0.03371779
5,0.05367097
6,0.01420859
7,0.04121725
8,0.0204835
9,0.08435056
10,0.05428382
11,0.03710018
12,0.02895662
14,0.06439291
0,0.01423731
1,0.01639752
2,0.04649187
3,0.02736519
4,0.03361347
5,0.05141643
7,0.04626284
8,0.02141395
9,0.0836072
10,0.05165619
11,0.02715569
12,0.04945831
13,0.01305399
14,0.05610567
15,0.01191815
16,0.01249052
2,0.04196511
3,0.03304573
4,0.03486554
5,0.05868018
6,0.01337652
7,0.05025993
8,0.02424072
9,0.07932343
10,0.05968786
11,0.03693075
12,0.0403941
14,0.06807701
1,0.0133231
2,0.04860006
3,0.01829204
4,0.0238682
5,0.0682139
6,0.01851811
7,0.07382714
8,0.01612701
9,0.07849142
10,0.05494425
11,0.02425531
12,0.07620426
13,0.02816842
14,0.08204368
17,0.01482111
18,0.0102912
19,0.01368034
1,0.0133231
2,0.04860006
3,0.01829204
4,0.0238682
5,0.0682139
6,0.01851811
7,0.07382714
8,0.01612701
9,0.07849142
10,0.05494425
11,0.02425531
12,0.07620426
13,0.02816842
14,0.08204368
17,0.01482111
18,0.0102912
19,0.01368034
0,0.01799534
1,0.02147504
2,0.05406623
3,0.01829612
4,0.01352831
5,0.07956478
6,0.03014728
7,0.08450553
8,0.02902767
9,0.07920947
10,0.05726095
12,0.08220255
13,0.02401535
14,0.07704845
15,0.0169698
17,0.01684168
19,0.01394839
0,0.01047919
1,0.01191702
2,0.04062417
3,0.03614824
4,0.04199173
5,0.05256347
7,0.07365462
8,0.01755691
9,0.08119307
10,0.05540838
11,0.04229102
12,0.06030203
13,0.01243187
14,0.08348189
15,0.01047809
16,0.01091905
17,0.0119381
0,0.01345507
1,0.01675483
2,0.05010691
3,0.01446135
4,0.01762901
5,0.07449963
6,0.02997219
7,0.0916613
8,0.03628932
9,0.09653503
10,0.03399143
11,0.01426129
12,0.07427153
13,0.02542614
14,0.1071254
15,0.01188894
16,0.01838536
2,0.0401048
3,0.02992123
4,0.03292334
5,0.06425624
6,0.01876993
7,0.06277967
8,0.0252749
9,0.08296859
10,0.05430725
11,0.03893813
12,0.05459625
14,0.08736396
15,0.01266873
16,0.01516249
2,0.03607002
3,0.03318776
4,0.0377047
5,0.05685119
6,0.01393209
7,0.07053659
8,0.01809394
9,0.0808408
10,0.05291156
11,0.04734353
12,0.05312473
14,0.08673628
16,0.01305484
1,0.01060104
2,0.04080648
3,0.02952758
4,0.03407397
5,0.06116325
6,0.01761078
7,0.06583649
8,0.025543
9,0.08591658
10,0.05193426
11,0.04001722
12,0.05732209
13,0.01354586
14,0.07787998
16,0.01655023
1,0.01060104
2,0.04080648
3,0.02952758
4,0.03407397
5,0.06116325
6,0.01761078
7,0.06583649
8,0.025543
9,0.08591658
10,0.05193426
11,0.04001722
12,0.05732209
13,0.01354586
14,0.07787998
16,0.01655023
0,0.01344517
1,0.01681286
2,0.04958272
3,0.01475404
4,0.01434737
5,0.07423491
6,0.02968872
7,0.0985024
8,0.02977099
9,0.09109791
10,0.03895579
12,0.07651252
13,0.0264659
14,0.0995457
16,0.01577119
0,0.01257483
1,0.01471143
2,0.04196219
3,0.02817299
4,0.03290917
5,0.05607914
6,0.01223977
7,0.06927823
8,0.02406779
9,0.08089574
10,0.05556532
11,0.03356075
12,0.05620865
14,0.07034034
15,0.01637313
16,0.01637932
2,0.0342995
3,0.03101699
4,0.0353663
5,0.05295978
6,0.01321381
7,0.07187211
8,0.01916547
9,0.08218181
10,0.05326705
11,0.04423481
12,0.04688342
14,0.0779625
16,0.01147524
0,0.01762118
1,0.02064997
2,0.05000583
4,0.01879286
5,0.06386014
6,0.02415037
7,0.09724636
8,0.02814309
9,0.0941538
10,0.03824737
11,0.01306737
12,0.06579795
13,0.02234678
14,0.08983982
15,0.01032013
16,0.01535256
2,0.03288047
3,0.02978614
4,0.03490354
5,0.05029349
6,0.01562139
7,0.06878897
8,0.01830474
9,0.08996151
10,0.05185947
11,0.04779384
12,0.04341005
13,0.01156698
14,0.06353971
2,0.03288047
3,0.02978614
4,0.03490354
5,0.05029349
6,0.01562139
7,0.06878897
8,0.01830474
9,0.08996151
10,0.05185947
11,0.04779384
12,0.04341005
13,0.01156698
14,0.06353971
0,0.01496161
1,0.01682352
2,0.03999287
3,0.02691138
4,0.03784571
5,0.0475822
6,0.01193132
7,0.06783654
8,0.01878657
9,0.09331672
10,0.04552625
11,0.03716708
12,0.06199831
13,0.02604317
14,0.05937861
16,0.0131234
2,0.03054998
3,0.02945578
4,0.03585935
5,0.05281479
6,0.01497188
7,0.07365882
8,0.01946216
9,0.08911209
10,0.05796625
11,0.04634762
12,0.04620742
14,0.07000517
0,0.01694852
1,0.01989188
2,0.0495652
4,0.01761877
5,0.06701708
6,0.02548827
7,0.1005844
8,0.02681002
9,0.09190389
10,0.04443091
11,0.01440659
12,0.0776564
13,0.02794205
14,0.08382809
16,0.0147352
0,0.01759958
1,0.01926213
2,0.04445566
3,0.02920797
4,0.03575265
5,0.04930267
7,0.06905189
8,0.03080499
9,0.08703622
10,0.04892344
11,0.02674866
12,0.06154317
13,0.01038835
14,0.06385147
15,0.0144956
16,0.01141399
0,0.01742161
1,0.02039381
2,0.05102513
4,0.02082546
5,0.0601279
6,0.02242498
7,0.09610316
8,0.03358011
9,0.1008655
10,0.03332261
11,0.02503255
12,0.06739882
13,0.02648976
14,0.08018629
15,0.01126469
16,0.01495587
0,0.01477732
1,0.01649051
2,0.04210462
3,0.02804735
4,0.0360825
5,0.04591501
7,0.06665142
8,0.02374101
9,0.09032539
10,0.04652359
11,0.03167836
12,0.0591261
13,0.01727737
14,0.05915979
2,0.03295612
3,0.02892983
4,0.03351201
5,0.05058402
6,0.0139906
7,0.07268117
8,0.01865587
9,0.08454959
10,0.0545767
11,0.04473219
12,0.04503052
14,0.06752016
0,0.01887273
1,0.02161773
2,0.05014076
4,0.02238015
5,0.05878996
6,0.02120736
7,0.09828202
8,0.03351735
9,0.1066188
10,0.03038222
11,0.02456812
12,0.05730994
13,0.01451212
14,0.07916254
15,0.01163362
16,0.01485563
0,0.0169953
1,0.01848339
2,0.04185394
3,0.02840932
4,0.03874848
5,0.04473792
7,0.06670235
8,0.02426632
9,0.09355921
10,0.04328257
11,0.03158887
12,0.05829944
13,0.01589249
14,0.05635021
2,0.03142128
3,0.02926297
4,0.03329777
5,0.05245911
6,0.01308665
7,0.07265109
8,0.02008454
9,0.08426978
10,0.05538931
11,0.04495448
12,0.0463414
14,0.0657644
