frequency,quantity
2,0.01205771
3,0.01744513
8,0.01073032
9,0.01067567
11,0.01123842
0,0.01522597
1,0.01850355
2,0.04647187
3,0.01428047
4,0.02205238
5,0.03190551
6,0.01440446
7,0.03169732
8,0.04822209
9,0.04893423
10,0.05889167
11,0.01865696
12,0.02339965
14,0.01765171
15,0.02410883
0,0.01309903
1,0.0162189
2,0.04381482
3,0.03336471
4,0.02084455
5,0.06361458
7,0.04196052
8,0.03154341
9,0.03726676
10,0.05218554
11,0.01152924
12,0.02876006
13,0.01548605
14,0.02886412
15,0.01484736
0,0.01772907
1,0.02092014
2,0.05344352
3,0.03687458
4,0.01780669
5,0.07241825
7,0.05027618
8,0.04033439
9,0.03462872
10,0.06322832
12,0.04130302
13,0.0214035
14,0.01967396
15,0.02953769
17,0.01124692
0,0.01618249
1,0.01955095
2,0.05214128
3,0.04203515
4,0.01816607
5,0.07275595
7,0.05271751
8,0.04648177
9,0.03282472
10,0.06543268
12,0.04439757
13,0.02158733
14,0.01691191
15,0.02802141
17,0.01161018
2,0.04295208
3,0.04939473
4,0.03057751
5,0.06491289
6,0.01464026
7,0.06243415
8,0.03252232
9,0.02894435
10,0.06727201
12,0.04374272
13,0.01823915
14,0.01614535
15,0.03272922
17,0.01077233
0,0.01316215
1,0.01533565
2,0.04500107
3,0.04618935
4,0.03442977
5,0.05624842
6,0.01476193
7,0.06690456
8,0.01941566
9,0.02602009
10,0.06481903
11,0.01139018
12,0.04712068
15,0.03441024
16,0.01230915
0,0.01253975
1,0.01631645
2,0.05026523
3,0.02887669
5,0.08982605
6,0.03087216
7,0.07577846
8,0.01475349
9,0.03199495
10,0.05228145
11,0.01527749
12,0.05781956
14,0.02757134
15,0.02086429
17,0.01385868
0,0.01178711
1,0.0152314
2,0.04896883
3,0.03415534
4,0.02088917
5,0.07387335
6,0.01215288
7,0.05447751
8,0.03055605
9,0.03919636
10,0.04946979
11,0.01181406
12,0.03881427
13,0.0119229
14,0.0296123
15,0.0189372
0,0.01726915
1,0.02054041
2,0.0511439
3,0.03536176
4,0.01877582
5,0.07184964
7,0.05602563
8,0.03800089
9,0.03113204
10,0.04745637
12,0.04067101
13,0.01679579
14,0.01975056
15,0.02006821
1,0.01048755
2,0.04117642
3,0.04101551
4,0.0288445
5,0.06458941
7,0.05890011
8,0.03007744
9,0.03275784
10,0.05283758
11,0.0101963
12,0.03881225
13,0.01693037
14,0.0285448
15,0.02046766
0,0.01114501
1,0.01323348
2,0.04051488
3,0.04443843
4,0.03141136
5,0.05721187
6,0.01529393
7,0.06799325
8,0.02728631
9,0.02076847
10,0.05360911
12,0.04397635
13,0.01322348
14,0.01549729
15,0.03084902
16,0.01058868
0,0.01648131
1,0.02003224
2,0.04967469
3,0.02495898
5,0.08179911
6,0.018514
7,0.06653558
8,0.02589536
10,0.07429449
11,0.02837258
12,0.0560654
14,0.02120539
15,0.0274581
17,0.01036267
0,0.01519605
1,0.01873873
2,0.04863361
3,0.02233434
5,0.0833132
6,0.02680534
7,0.07780263
8,0.0126793
9,0.03056459
10,0.06066866
11,0.02133499
12,0.05349681
13,0.01099079
14,0.03785934
15,0.02370887
16,0.01011241
2,0.04408691
3,0.02682773
5,0.0814667
6,0.02560915
7,0.07578687
8,0.01734637
9,0.02881605
10,0.05778491
11,0.01594107
12,0.04292634
14,0.01984827
15,0.03256921
16,0.01434577
17,0.01803378
18,0.01234934
19,0.01262925
2,0.03820485
3,0.03790851
4,0.02808259
5,0.0600764
7,0.06629172
8,0.03222394
9,0.03485698
10,0.04647817
12,0.03362514
13,0.01290451
14,0.02583677
15,0.01934952
0,0.01174244
1,0.01359199
2,0.03762844
3,0.04096573
4,0.02979381
5,0.0537302
6,0.01623746
7,0.07178898
8,0.02641486
9,0.02473355
10,0.0553972
12,0.03372211
14,0.01240909
15,0.02695858
0,0.01623634
1,0.01955705
2,0.04834598
3,0.02158235
5,0.07477608
6,0.0201215
7,0.07115309
8,0.01775123
10,0.06346127
11,0.02569177
12,0.05197866
13,0.01228004
14,0.02425059
15,0.01716476
0,0.01440359
1,0.01773873
2,0.04354502
3,0.02564931
5,0.07911872
6,0.02349062
7,0.0719638
8,0.02692128
9,0.01024412
10,0.0640752
11,0.0209308
12,0.04867787
14,0.01424628
15,0.02150084
1,0.01083544
2,0.03505843
3,0.02899859
5,0.08361678
6,0.02988723
7,0.07895394
8,0.0234594
9,0.01411442
10,0.05502317
11,0.01775965
12,0.04278205
15,0.02377607
17,0.0115962
2,0.03322
3,0.02968968
5,0.08215009
6,0.02712297
7,0.07414404
8,0.03275494
9,0.01585912
10,0.05692638
11,0.01124006
12,0.03399662
13,0.01615827
14,0.01192031
15,0.02693703
0,0.01229687
1,0.01465385
2,0.03818711
3,0.02816281
4,0.0170077
5,0.06333642
7,0.06234941
8,0.04325954
9,0.03437212
10,0.04747093
12,0.03063339
13,0.01262727
14,0.01730799
15,0.02303727
2,0.03071328
3,0.03486715
4,0.02516667
5,0.05563904
7,0.06562329
8,0.03674872
9,0.03100307
10,0.04524618
12,0.02863753
13,0.01638569
14,0.02137642
15,0.01712964
0,0.01142054
1,0.01275947
2,0.03424582
3,0.03636853
4,0.02795183
5,0.05002002
6,0.01530055
7,0.07155129
8,0.02655276
9,0.02185417
10,0.05179674
12,0.03389716
14,0.01088043
15,0.02474545
0,0.01743341
1,0.02033131
2,0.04602977
3,0.01719129
5,0.07359692
6,0.02305201
7,0.0749462
8,0.01807063
10,0.06331661
11,0.02204783
12,0.04804341
14,0.02009214
15,0.01699758
1,0.01256874
2,0.03823389
3,0.02518203
5,0.08088951
6,0.02831809
7,0.07811588
8,0.02062105
9,0.01287769
10,0.05708626
11,0.01861862
12,0.04573234
14,0.01409872
15,0.02109677
1,0.01241723
2,0.03824477
3,0.02643867
5,0.08110255
6,0.02991683
7,0.08155283
8,0.01814028
9,0.02160581
10,0.04836038
11,0.0125472
12,0.04362254
14,0.01275722
15,0.02052378
17,0.01101402
0,0.01407958
1,0.01652676
2,0.04294228
3,0.02823366
4,0.01885723
5,0.0625037
7,0.06310032
8,0.03719863
9,0.03206302
10,0.04185412
12,0.02954974
13,0.01526737
14,0.02188476
15,0.01176421
2,0.03521208
3,0.03207651
4,0.02484086
5,0.05614792
7,0.06170984
8,0.03033185
9,0.03940381
10,0.04170047
11,0.0108754
12,0.02938214
14,0.02378563
15,0.01265591
2,0.03287763
3,0.03682076
4,0.02723159
5,0.0514917
6,0.01022445
7,0.07000776
8,0.03200093
9,0.02693777
10,0.04794623
11,0.0102853
12,0.03103733
13,0.01131101
14,0.01434521
15,0.02064329
1,0.01243217
2,0.03826958
3,0.02469058
5,0.07941961
6,0.03018309
7,0.08419101
8,0.01396246
9,0.02152006
10,0.05454742
11,0.01573696
12,0.04476073
14,0.01756103
