frequency,quantity
1,0.01268397
3,0.01740246
4,0.01033292
3,0.0110343
3,0.0110343
2,0.01701343
3,0.01905355
4,0.01438836
5,0.0160757
8,0.0159279
11,0.01179856
2,0.01701343
3,0.01905355
4,0.01438836
5,0.0160757
8,0.0159279
11,0.01179856
0,0.01164118
1,0.01439915
2,0.03811505
3,0.02037973
5,0.0461346
6,0.01604441
7,0.03359125
9,0.01655479
10,0.02732709
11,0.01117965
12,0.0185173
13,0.01009377
14,0.01760415
1,0.01125832
2,0.04201843
3,0.02730489
4,0.01196231
5,0.06376329
6,0.01866065
7,0.03792802
10,0.03339887
11,0.0109068
12,0.02165464
14,0.01265962
15,0.01929555
1,0.01240778
2,0.038144
3,0.03945069
4,0.02078734
5,0.06680162
6,0.01157317
7,0.02893246
8,0.02780789
10,0.03365224
13,0.01650751
15,0.02563164
1,0.01240778
2,0.038144
3,0.03945069
4,0.02078734
5,0.06680162
6,0.01157317
7,0.02893246
8,0.02780789
10,0.03365224
13,0.01650751
15,0.02563164
1,0.01217381
2,0.03253048
3,0.04907472
4,0.0192683
5,0.06376208
6,0.01098193
7,0.02647884
8,0.03486106
9,0.01009908
10,0.03024386
13,0.01823517
15,0.02132283
1,0.01231509
2,0.04064866
3,0.03913619
4,0.01687266
5,0.06045833
6,0.0144398
7,0.03395265
8,0.0287324
10,0.03442715
12,0.01065525
13,0.01441749
15,0.02555656
0,0.01024538
1,0.01341668
2,0.0340672
3,0.03778182
4,0.01667043
5,0.06773992
6,0.01344157
7,0.03429598
8,0.02932258
10,0.03828469
12,0.01146759
13,0.01494253
15,0.02819089
1,0.011705
2,0.03734156
3,0.03574705
4,0.0147043
5,0.06891698
6,0.01755715
7,0.04052439
8,0.02420602
10,0.03785073
12,0.01498773
13,0.01001719
15,0.02827075
0,0.01047887
1,0.01325616
2,0.04066393
3,0.02954317
5,0.06487916
6,0.02004935
7,0.04590824
8,0.01473821
10,0.03549099
12,0.01867921
15,0.02581374
2,0.03211381
3,0.03151292
5,0.05845604
6,0.0124476
7,0.03967173
8,0.02524081
9,0.01717865
10,0.0316082
12,0.01683155
13,0.01295954
14,0.0140686
15,0.02208199
2,0.03211381
3,0.03151292
5,0.05845604
6,0.0124476
7,0.03967173
8,0.02524081
9,0.01717865
10,0.0316082
12,0.01683155
13,0.01295954
14,0.0140686
15,0.02208199
0,0.01275132
1,0.01468031
2,0.03918927
3,0.02831045
4,0.01096129
5,0.04738751
7,0.03889733
8,0.03401532
9,0.01779883
10,0.02743401
12,0.02306152
13,0.01189002
15,0.02318149
0,0.01022304
1,0.01263856
2,0.03248089
3,0.03047922
4,0.01331848
5,0.04785294
7,0.0408452
8,0.03351057
9,0.0171445
10,0.02672537
12,0.02580007
13,0.01296893
15,0.01591628
0,0.01022304
1,0.01263856
2,0.03248089
3,0.03047922
4,0.01331848
5,0.04785294
7,0.0408452
8,0.03351057
9,0.0171445
10,0.02672537
12,0.02580007
13,0.01296893
15,0.01591628
2,0.03067083
3,0.03556904
4,0.01735023
5,0.04745244
6,0.01541118
7,0.04522498
8,0.03744216
9,0.01298949
10,0.02992262
12,0.02276736
13,0.02066725
15,0.01543049
2,0.0298735
3,0.03804268
4,0.01873589
5,0.04916812
6,0.01807105
7,0.04964323
8,0.03829283
9,0.01284274
10,0.02714823
12,0.02722026
13,0.02017907
15,0.01442727
2,0.02934443
3,0.03943136
4,0.01861695
5,0.0521124
6,0.02186231
7,0.05269271
8,0.04202062
9,0.01360307
10,0.02746762
11,0.01080359
12,0.02635464
13,0.02473254
15,0.01510853
2,0.02970436
3,0.03910173
4,0.01872829
5,0.05410725
6,0.02226389
7,0.05544472
8,0.04589685
9,0.01563179
10,0.0254048
11,0.01071197
12,0.02820297
13,0.02833994
15,0.01421437
2,0.0289325
3,0.04098505
4,0.01719458
5,0.05487578
6,0.02520151
7,0.05691949
8,0.05368072
9,0.01547727
10,0.02613813
11,0.01177539
12,0.02776355
13,0.03410201
14,0.01100829
15,0.01018119
2,0.0277309
3,0.03880113
4,0.01589242
5,0.05677074
6,0.02531479
7,0.05518018
8,0.05718131
9,0.01455114
10,0.0257221
11,0.01289672
12,0.02632515
13,0.03493634
2,0.03012669
3,0.03760768
4,0.01499016
5,0.05780502
6,0.02240351
7,0.05535085
8,0.05770059
9,0.01923526
10,0.02390577
11,0.01631246
12,0.02951039
13,0.03369135
14,0.01143841
0,0.01016445
1,0.01258221
2,0.03306144
3,0.034371
4,0.01068533
5,0.05791583
6,0.0215213
7,0.05101848
8,0.06298986
9,0.01896028
10,0.02057066
11,0.01672659
12,0.02707251
13,0.02998258
0,0.01201069
1,0.01407201
2,0.03496729
3,0.03084724
5,0.06027991
6,0.01636859
7,0.04945208
8,0.06087805
9,0.02250129
10,0.01720098
11,0.01644288
12,0.03059947
13,0.02335143
15,0.01042709
0,0.0116634
1,0.01424973
2,0.03430426
3,0.02986017
4,0.01117245
5,0.06088707
6,0.0163895
7,0.05248612
8,0.05557932
9,0.02139859
10,0.01953125
11,0.01730912
12,0.03404428
13,0.02255767
15,0.01661043
2,0.03065558
3,0.03380096
4,0.01606427
5,0.05936421
6,0.01497089
7,0.0567802
8,0.05144064
9,0.02158899
10,0.02311682
11,0.01042854
12,0.03145226
13,0.02125314
14,0.01356353
15,0.01553697
2,0.02669416
3,0.03513
4,0.0176579
5,0.05490355
6,0.01819933
7,0.05652515
8,0.04695231
9,0.01907384
10,0.02475688
12,0.02784257
13,0.02373989
14,0.01206456
15,0.01341323
2,0.02959016
3,0.03692932
4,0.01566363
5,0.05676992
6,0.02123947
7,0.05269931
8,0.05562533
9,0.01650175
10,0.02186461
11,0.01064431
12,0.02423258
13,0.02919955
14,0.01027166
0,0.01349953
1,0.01570293
2,0.0337908
3,0.02936957
5,0.06009858
6,0.01929382
7,0.04430148
8,0.06425095
9,0.01837043
10,0.01461975
11,0.02010166
12,0.0253058
13,0.02340448
15,0.01047913
0,0.01349953
1,0.01570293
2,0.0337908
3,0.02936957
5,0.06009858
6,0.01929382
7,0.04430148
8,0.06425095
9,0.01837043
10,0.01461975
11,0.02010166
12,0.0253058
13,0.02340448
15,0.01047913
0,0.01503664
1,0.01743143
2,0.03667879
3,0.02749684
5,0.06249553
6,0.01718707
7,0.04646837
8,0.06765641
9,0.02038639
10,0.01340958
11,0.01879413
12,0.02459864
13,0.02404656
15,0.01206256
2,0.02686597
3,0.03630011
4,0.01533896
5,0.07681686
7,0.03792321
8,0.07292672
9,0.02084777
10,0.0275767
11,0.01266933
12,0.0110966
13,0.03876945
14,0.01229824
