frequency,quantity
2,0.01032648
2,0.01661995
3,0.01317612
5,0.01376913
7,0.01367868
9,0.01529051
10,0.02012694
12,0.01342853
13,0.01034094
15,0.01367121
2,0.03448472
3,0.01460215
4,0.02514222
5,0.02711997
6,0.01460482
7,0.02335437
9,0.05517055
11,0.02858396
12,0.01170064
13,0.01609082
14,0.0153251
2,0.03448472
3,0.01460215
4,0.02514222
5,0.02711997
6,0.01460482
7,0.02335437
9,0.05517055
11,0.02858396
12,0.01170064
13,0.01609082
14,0.0153251
0,0.01331578
1,0.01586464
2,0.04533525
4,0.02186906
5,0.03689528
6,0.01010787
7,0.04655849
8,0.01842866
9,0.06934871
11,0.02539181
12,0.01268126
14,0.02315126
16,0.0124482
2,0.04008383
3,0.02660864
4,0.03380786
5,0.04114252
6,0.01224093
7,0.03406238
8,0.01038015
9,0.05150359
10,0.02010752
11,0.02205299
12,0.02145506
14,0.02526759
1,0.010972
2,0.04702285
3,0.01272291
4,0.02293682
5,0.04799245
6,0.01114422
7,0.05088148
8,0.01082082
9,0.0545603
10,0.01422611
11,0.01327414
12,0.03269041
13,0.01624041
14,0.03627378
15,0.01108173
2,0.04000224
3,0.02795836
4,0.03653322
5,0.04434722
6,0.01726881
7,0.03695023
9,0.05811854
10,0.01610663
11,0.03265554
12,0.02410368
13,0.01726828
14,0.02810716
0,0.01433741
1,0.0175225
2,0.05174498
4,0.02653372
5,0.04856887
6,0.01557306
7,0.05931696
8,0.02296591
9,0.0775945
11,0.03429909
12,0.01600038
14,0.033823
15,0.01111668
16,0.01402272
2,0.03933491
3,0.02756109
4,0.03698336
5,0.04612458
6,0.01866035
7,0.04212312
9,0.05811913
10,0.01908071
11,0.03434085
12,0.02911678
13,0.0190178
14,0.03171255
2,0.04090931
3,0.02134851
4,0.03444397
5,0.04851831
6,0.01788688
7,0.05116414
9,0.06423333
10,0.01053342
11,0.03090043
12,0.02973933
13,0.01214784
14,0.04848568
15,0.01554034
16,0.0170178
2,0.03810966
3,0.0317948
4,0.03752935
5,0.05509835
6,0.01440275
7,0.05410903
8,0.01225511
9,0.05175875
10,0.03162804
11,0.03493147
12,0.03985926
13,0.01090401
14,0.0428681
2,0.03810966
3,0.0317948
4,0.03752935
5,0.05509835
6,0.01440275
7,0.05410903
8,0.01225511
9,0.05175875
10,0.03162804
11,0.03493147
12,0.03985926
13,0.01090401
14,0.0428681
0,0.01622528
1,0.0197213
2,0.05437129
3,0.01225434
4,0.01787741
5,0.07035281
6,0.02456095
7,0.08285093
8,0.02059605
9,0.06332117
10,0.01771683
11,0.01260666
12,0.05721854
13,0.01767142
14,0.05936474
16,0.01098765
0,0.01238643
1,0.01478579
2,0.04684873
3,0.03091516
4,0.03348114
5,0.05950801
6,0.01181553
7,0.06326375
8,0.01948206
9,0.05200867
10,0.0370855
11,0.02743971
12,0.05030478
14,0.04414704
